from,to,year,relation,land,weight
Wernher_von_Braun,Hermann_Oberth,1,function,1,Kontakt
Wernher_von_Braun,Verein_fuer_Raumschifffahrt,1,function,1,Mitglied
Wernher_von_Braun,Berlin,1,place,1,99
Wernher_von_Braun,Breslau,1,place,1,99
Wernher_von_Braun,Technische_Hochschule_Charlottenburg,1,function,1,Student
Wernher_von_Braun,ETH_Zuerich,1,function,3,Student
Wernher_von_Braun,Walter_Dornberger,1,function,1,Schueler
Wernher_von_Braun,Rudolf_Nebel,1,function,1,Kollege
Wernher_von_Braun,Klaus_Riedel,1,function,1,Kollege
Wernher_von_Braun,Zuerich,1,place,3,99
Wernher_von_Braun,Heereswaffenamt,1,function,1,Mitarbeiter
Wernher_von_Braun,Kummersdorf,1,place,1,Mitarbeiter
Wernher_von_Braun,Arthur_Rudolph,1,function,1,Kontakt
Wernher_von_Braun,Klaus_Riedel,2,function,1,Vorgesetzter
Wernher_von_Braun,Walter_Riedel,2,function,1,Vorgesetzter
Wernher_von_Braun,Friedrich_Wilhelm_Universitaet,2,function,1,Doktorand
Wernher_von_Braun,Berlin,2,place,1,99
Wernher_von_Braun,Heeresversuchsanstalt,2,function,1,Angestellter
Wernher_von_Braun,Kummersdorf,2,place,1,Testversuchsleiter
Wernher_von_Braun,V2,2,mission,1,technischer_Direktor
Wernher_von_Braun,Peenemuende,2,place,1,technischer_Direktor
Wernher_von_Braun,Mittelwerk_GmbH,2,function,1,technischer_Direktor
Wernher_von_Braun,Mittelbau_Dora,2,place,1,technischer_Direktor
Wernher_von_Braun,Schutzstaffel,2,function,1,Sturmbannfuehrer
Wernher_von_Braun,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1,Mitglied
Wernher_von_Braun,Aggregat_2,2,mission,1,Entwickler
Wernher_von_Braun,Borkum,2,place,1,99
Wernher_von_Braun,Ernst_Heinkel,2,function,1,Kontakt
Wernher_von_Braun,Erich_Warsitz,2,function,1,Kontakt
Wernher_von_Braun,Heinkel_He_112,2,mission,1,Entwickler
Wernher_von_Braun,Neuhardenberg,2,place,1,99
Wernher_von_Braun,Arthur_Rudolph,2,function,1,Vorgesetzter
Wernher_von_Braun,Walter_Dornberger,2,function,1,Berichtender
Wernher_von_Braun,Georg_von_Tiesenhausen,2,function,1,Vorgesetzter
Wernher_von_Braun,Adolf_Hitler,2,function,1,Berichtender
Wernher_von_Braun,Albert_Speer,2,function,1,Berichtender
Wernher_von_Braun,Kurt_Debus,2,function,1,Vorgesetzter
Wernher_von_Braun,Walt_Disney,3,function,2,Kontakt
Wernher_von_Braun,Arthur_Rudolph,3,function,2,Vorgesetzter
Wernher_von_Braun,Georg_von_Tiesenhausen,3,function,2,Kollege
Wernher_von_Braun,Kurt_Debus,3,function,2,Vorgesetzter
Wernher_von_Braun,US_Army,3,function,2,Berater
Wernher_von_Braun,Fort_Bliss,3,place,2,99
Wernher_von_Braun,Army_Ballistic_Missile_Agency,3,function,2,technischer_Direktor
Wernher_von_Braun,Huntsville,3,place,2,99
Wernher_von_Braun,Redstone,3,mission,2,technischer_Leiter
Wernher_von_Braun,Jupiter,3,mission,2,Entwickler
Wernher_von_Braun,Arthur_Rudolph,4,function,2,Vorgesetzter
Wernher_von_Braun,Georg_von_Tiesenhausen,4,function,2,Vorgesetzter
Wernher_von_Braun,Kurt_Debus,4,function,2,Vorgesetzter
Wernher_von_Braun,John_F_Kennedy,4,function,2,Werbender
Wernher_von_Braun,Huntsville,4,place,2,99
Wernher_von_Braun,National_Aeronautics_and_Space_Administration,4,function,2,Direktor_MSFC
Wernher_von_Braun,Mercury,4,mission,2,Direktor_MSFC
Wernher_von_Braun,Gemini,4,mission,2,Direktor_MSFC
Wernher_von_Braun,Apollo_Programm,4,mission,2,Direktor_MSFC
Wernher_von_Braun,Saturn,4,mission,2,Direktor_MSFC
