from,to,year,relation,land,weight
Walter_Riedel,Firma_Heylandt,1,function,1,Entwickler Raketenmotoren
Walter_Riedel,Berlin,1,place,1,99
Walter_Riedel,Heereswaffenamt,2,function,1,Forschung und Entwicklung
Walter_Riedel,Kummersdorf,2,place,1,99
Walter_Riedel,Heeresversuchsanstalt,2,function,1,Leiter technisches Konstruktionsbuero V2
Walter_Riedel,Peenemuende,2,place,1,99
Walter_Riedel,Heeresversuchsanstalt,2,function,1,Chefdesigner
Walter_Riedel,Heeresversuchsanstalt,2,function,3,Beaufsichtiger bei Verlegung nach Ebensee
Walter_Riedel,Ebbensee,2,place,1,99
Walter_Riedel,Kriegsgefangenschaft,3,function,1,Gefangener US-Armee
Walter_Riedel,Deggendorf,3,place,1,99
Eberhard_Rees,Heeresversuchsanstalt,2,function,1,Stellvertreter Brauns
Eberhard_Rees,Peenemuende,2,place,1,99
Eberhard_Rees,Heeresversuchsanstalt,2,function,1,Betriebsdirektor
Eberhard_Rees,Heeresversuchsanstalt,2,function,1,Produktionsdirektor
Eberhard_Rees,US_Army,3,function,2,Berater
Eberhard_Rees,Fort_Bliss,3,place,2,99
Eberhard_Rees,Redstone,3,function,2,Stellvertreter Brauns
Eberhard_Rees,Army_Ballistic_Missile_Agency,3,function,2,stellvertretender Direktor
Eberhard_Rees,Huntsville,3,place,2,99
Eberhard_Rees,National_Aeronautics_and_Space_Administration,4,function,2,Stellvertreter Brauns
Eberhard_Rees,Huntsville,4,place,2,99
Eberhard_Rees,National_Aeronautics_and_Space_Administration,4,function,2,Verantwortlicher Saturn-Raketen
Eberhard_Rees,National_Aeronautics_and_Space_Administration,4,function,2,Direktor Marshall Space Flight Center
Bernhard_Tessmann,Heeresversuchsanstalt,2,function,1,Ueberwacher Konstruktion Maschinentests
Bernhard_Tessmann,Peenemuende,2,place,1,99
Bernhard_Tessmann,V2,2,function,1,Entwickler
Bernhard_Tessmann,Koelpinsee,2,place,1,99
Bernhard_Tessmann,US_Army,3,function,2,Berater
Bernhard_Tessmann,Fort_Bliss,3,place,2,99
Bernhard_Tessmann,White_Sands_Missile_Range,3,function,2,Mitarbeiter
Bernhard_Tessmann,White_Sands_Missile_Range,3,place,2,99
Bernhard_Tessmann,US_Army,3,function,2,Mitarbeiter
Bernhard_Tessmann,Huntsville,3,place,2,99
Bernhard_Tessmann,National_Aeronautics_and_Space_Administration,4,function,2,Deputy Director
Bernhard_Tessmann,Huntsville,4,place,2,99
Dieter_Huzel,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1,Mitglied
Dieter_Huzel,Berlin,2,place,1,99
Dieter_Huzel,Heeresversuchsanstalt,2,function,1,Mitarbeiter
Dieter_Huzel,Peenemuende,2,place,1,99
Dieter_Huzel,Heeresversuchsanstalt,2,function,1,Leiter V2-Pruefstand
Dieter_Huzel,Peenemuende,2,place,1,99
Dieter_Huzel,Heeresversuchsanstalt,2,function,1,Assistent Brauns
Dieter_Huzel,Peenemuende,2,place,1,99
Dieter_Huzel,US_Army,3,function,2,Berater
Dieter_Huzel,Fort_Bliss,3,place,2,99
Dieter_Huzel,North_American_Aviation,4,function,2,Triebswerkentwicklung Redstone
Dieter_Huzel,Los Angeles,4,place,2,99
Theodor_Benzinger,Nationalsozialistische_Deutsche_Arbeiterpartei,2,function,1,Mitglied
Theodor_Benzinger,Berlin,2,place,1,99
Theodor_Benzinger,Sturmabteilung,2,function,1,Mitglied
Theodor_Benzinger,Berlin,2,place,1,99
Theodor_Benzinger,Flugmedizinisches_Institut,2,function,1,Leiter
Theodor_Benzinger,Rechlin,2,place,1,99
Theodor_Benzinger,Deutsche_Akademie_fuer_Luftfahrtforschung,2,function,1,Obermedizinalrat
Theodor_Benzinger,Berlin,2,place,1,99
Theodor_Benzinger,US_Air_Force,3,function,2,Berater
Theodor_Benzinger,Randolph_Air_Force_Base,3,place,2,99
Theodor_Benzinger,NMRI,3,function,2,Direktor
Theodor_Benzinger,Bethesda,3,place,2,99
Theodor_Benzinger,National_Institute_of_Standards_and_Technology,4,function,2,Mitarbeiter
Theodor_Benzinger,Gaithersburg,4,place,2,99
Konrad_Schaefer,Schering_AG,2,function,1,Assistent Chemotherapeutisches Laboratorium
Konrad_Schaefer,Berlin,2,place,1,99
Konrad_Schaefer,Luftwaffe,2,function,1,Mitarbeiter Sanitaetsversuchs-und Lehrabteilung
Konrad_Schaefer,Jueterbog,2,place,1,99
Konrad_Schaefer,Konzentrationslager_Dachau,2,function,1,Referent Menschenversuche
