id,name,type,study,promotion
Advanced_Systems_Office,Advanced_Systems_Office,1,99,99
Aero_Medical_Center,AMC,1,99,99
Apollo_Programm,Apollo,1,99,99
Army_Ballistic_Missile_Agency,ABMA,1,99,99
Berlin,Berlin,2,99,99
Bernhard_Tessmann,Bernhard_Tessmann,0,99,99
Bethesda,Bethesda,2,99,99
Bonn,Bonn,2,99,99
Chicago,Chicago,1,99,99
Cleveland,Cleveland,2,99,99
Dachau,Dachau,2,99,99
Deggendorf,Deggendorf,2,99,99
Deputy_Director,Deputy Director,1,99,99
Deutsche_Akademie_fuer_Luftfahrtforschung,DAfL,1,99,99
Deutsche_Versuchsanstalt_fuer_Luftfahrt,DVfL,1,99,99
Dieter_Huzel,Dieter_Huzel,0,99,99
Ebbensee,Ebbensee,2,99,99
Eberhard_Rees,Eberhard_Rees,0,99,99
Firma_Hatlapa,Firma_Hatlapa,1,99,1
Firma_Heylandt,Firma_Heylandt,1,99,99
Flugmedizinisches_Institut,FmI,1,99,99
Forschungsinstitut_fuer_Luftfahrtmedizin,Forschungsinstitut_fuer_Luftfahrtmedizin,1,99,99
Fort_Bliss,Fort_Bliss,2,99,99
Future_Launch_Systems_Study_Office,Future_Launch_Systems_Study_Office,1,99,99
Gaithersburg,Gaithersburg,2,99,99
Gefangener_US_Armee,Gefangener,99,99,99
Gemini,Gemini,1,99,99
Georg_von_Tiesenhausen,Georg_von_Tiesenhausen,0,99,99
Institut_fuer_Flugmedizin_der_deutschen_Versuchsanstalt,IfFddV,1,99,99
Konzentrationslager_Dachau,KZ Dachau,2,99,99
National_Aeronautics_and_Space_Administration,NASA,1,99,99
National_Institute_of_Standards_and_Technology,NIST,1,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
North_American_Aviation,NAA,0,99,99
Obermedizinalrat,Obermedizinalrat,1,99,99
Produktionsdirektor,Produktionsdirektor,1,99,99
Professor,Professor,99,99,99
Raketen_Ingenieur,Raketen_Ingenieur,1,99,99
Randolph_Air_Force_Base,RAFB,2,99,99
Rechlin,Rechlin,2,99,99
Redstone,Redstone,1,99,99
Referent_Menschenversuche,RefMenVer,1,99,99
Reichsluftfahrtministerium,RLFM,1,99,99
Rockefeller_Foundation,RF,1,99,99
Saturn,Saturn,3,99,99
Schering_AG,Schering_AG,1,99,99
Schutzstaffel,SS,1,99,99
Siegfried_Ruff,Ruff,0,1,1
stellvertretender_Direktor,stellDir,99,99,99
Stellvertreter_Brauns,stellBraun,99,99,99
Stipendium,Stipendium,3,99,99
Student,Student,99,99,99
Sturmabteilung,SA,1,99,99
technischer_Direktor,techDir,99,99,99
Test_Stand_12,TS12,3,99,99
Theodor_Benzinger,Benzinger,0,1,1
Triebwerksentwicklung_Redstone,TriebEntRed,0,99,99
Ueberwacher_Konstruktion_Maschinentests,UebKonMasch,1,99,99
Uetersen,Uetersen,1,99,99
Universitaet_Heidelberg,UniHeidel,1,99,99
US_Air_Force,USAF,1,99,99
US_Air_Force_Aviation_University,USAAU,1,99,99
US_Army,US_Army,1,99,99
V2,V2,3,99,99
Verantwortlicher_Saturn_Raketen,VerSatRak,1,99,99
Walter_Riedel,Riedel,0,1,1
Wehrdienst + Kommunikation,WehrKomm,1,99,99
White_Sands_Missile_Range,WSMR,1,99,99
Gefangener,Gefangener,1,99,99
Hamburg,Hamburg,2,99,99
Heeresversuchsanstalt,Heeresversuchsanstalt,1,99,99
Heereswaffenamt,Heereswaffenamt,1,99,99
Heidelberg,Heidelberg,2,99,99
Hubertus_Strughold,Hubertus_Strughold,0,99,99
Huntsville,Huntsville,2,99,99
Ingenieurschule_Hamburg,Ingenieurschule_Hamburg,1,99,99
Institut_fuer_Weltraummedizin,Institut_fuer_Weltraummedizin,1,99,99
Jueterbog,Jueterbog,1,99,99
Koelpinsee,Koelpinsee,1,99,99
Konrad_Schaefer,Konrad_Schaefer,0,99,99
Kriegsgefangenschaft,Kriegsgefangenschaft,99,99,99
Kummersdorf,Kummersdorf,1,99,99
Los_Angeles,Los_Angeles,2,99,99
Luftwaffe,Luftwaffe,1,99,99
Marshall_Space_Flight_Center,Marshall_Space_Flight_Center,1,99,99
NMRI,NMRI,1,99,99
Peenemuende,Peenemuende,1,99,99
