id,name,type,study,promotion
Apollo_Programm,Apollo,3,99,99
Army_Ballistic_Missile_Agency,ABMA,1,99,99
Arthur_Rudolph,Rudolph,0,1,1
Augsburg,Augsburg,2,99,99
Bell_Air_Craft_Corporation,BACC,1,99,99
Berlin,Berlin,2,99,99
Breslau,Breslau,2,99,99
Buffalo,Buffalo,2,99,99
Burschenschaft_Markommannia,BurMar,1,99,99
Cambridge,Cambridge,2,99,99
Darmstadt,Darmstadt,2,99,99
Dyna_Soar,Dyna_Soar,3,99,99
Firma_Heylandt,Firma_Heylandt,1,99,99
Forschungsstation_Zugspitze,ForStaZug,1,99,99
Fort_Bliss,Fort_Bliss,2,99,99
Gemini,Gemini,3,99,99
Geophysical_Research_Directorate,GRD,1,99,99
Georg_Rickhey,Rickhey,0,1,0
Gestapo,Gestapo,1,99,99
Heeresversuchsanstalt,HVA,1,99,99
Heereswaffenamt,HWA,1,99,99
Houston,Houston,1,99,99
Huntsville,Huntsville,2,99,99
Joachim_Kuettner,Kuettner,0,1,1
Jupiter,Jupiter,3,99,99
Kennedy_Space_Center,KSC,2,99,99
Kummersdorf,Kummersdorf,2,99,99
Kurt_Debus,Debus,0,1,1
Mercury,Mercury,3,99,99
Messerschmitt_AG,Messerschmitt_AG,1,99,99
Mittelbau_Dora,Mittelbau_Dora,2,99,99
Mittelwerk_GmbH,Mittelwerk_GmbH,1,99,99
National_Aeronautics_and_Space_Administration,NASA,1,99,99
Nationalsozialistische_Deutsche_Arbeiterpartei,NSDAP,1,99,99
Oakland,Oakland,2,99,99
Ohio,Ohio,2,99,99
Operation_Backfire,OpeBac,3,99,99
Peenemuende,Peenemuende,2,99,99
Pruefstand_VII,PruVII,3,99,99
Redstone,Redstone,3,99,99
Saturn,Saturn,3,99,99
Schutzstaffel,SS,1,99,99
Sturmabteilung,SA,1,99,99
Technische_Hochschule_Darmstadt,TH_Darmstadt,1,99,99
University_of_California,UniCali,1,99,99
US_Air_Force,USAF,1,99,99
US_Army,US_Army,1,99,99
V2,V2,3,99,99
Verein_fuer_Raumschifffahrt,VfR,1,99,99
Walter_Dornberger,Dornberger,0,1,0
Wernher_von_Braun,Braun,0,1,1
White_Sands_Missile_Range,WSMR,2,99,99
Wright_Field,Wright_Field,2,99,99
Zugspitze,Zugspitze,2,99,99
